Filename,Seq_index,Time_label,Index,Name,X,Y,Width,Height,Z,"Forward/Backward/cannot tell/brownian/attached (F/B/N/I/A; if both F/B within 5 frames, labled as F, B)",weight,category,sum,description,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,10,0039-0792-0472,460,774,24,36,39,B,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,11,0039-0610-0921,906,592,30,36,39,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,12,0038-1063-0906,898,1046,16,34,38,B,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,13,0042-0441-1046,1034,424,24,34,42,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,14,0041-0825-0867,856,810,22,30,41,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,15,0044-0610-0725,712,590,26,40,44,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,16,0049-0647-0489,472,626,34,42,49,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,17,0049-0903-0380,364,894,32,18,49,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,18,0049-0463-0750,736,450,28,26,49,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,19,0047-1089-0659,642,1072,34,34,47,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,20,0047-1125-0542,526,1108,32,34,47,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,21,0047-0918-0684,672,904,24,28,47,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,22,0050-0913-0805,790,896,30,34,50,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,23,0048-0895-0647,638,880,18,30,48,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,24,0045-0995-0612,594,972,36,46,45,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,25,0044-0807-0997,990,796,14,22,44,B,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,26,0045-0806-1081,1064,790,34,32,45,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,27,0042-0835-1173,1160,820,26,30,42,F,1,,,,,,,
ROI__Seq02_13.50s.tif.csv,Seq02,13.50s,28,0035-0423-0479,464,404,30,38,35,B,1,,,,,,,
ROI__Seq02_18.00s.tif.csv,Seq02,18.00s,0,0025-0510-0812,800,498,24,24,25,B,1,,,,,,,
ROI__Seq02_18.00s.tif.csv,Seq02,18.00s,1,0025-0476-1033,1024,466,18,20,25,B,1,,,,,,,
ROI__Seq02_18.00s.tif.csv,Seq02,18.00s,2,0025-0795-1005,996,784,18,22,25,F,1,,,,,,,
ROI__Seq02_18.00s.tif.csv,Seq02,18.00s,3,0025-0923-0723,710,908,26,30,25,F,1,,,,,,,
ROI__Seq02_18.00s.tif.csv,Seq02,18.00s,4,0025-0865-0807,798,852,18,26,25,F,1,,,,,,,
ROI__Seq02_18.00s.tif.csv,Seq02,18.00s,5,0025-0970-1048,1040,958,16,24,25,B,1,,,,,,,
ROI__Seq02_18.00s.tif.csv,Seq02,18.00s,6,0025-0874-1093,1080,856,26,36,25,F,1,,,,,,,
ROI__Seq02_18.00s.tif.csv,Seq02,18.00s,7,0025-1121-0776,766,1106,20,30,25,F,1,,,,,,,
ROI__Seq02_18.00s.tif.csv,Seq02,18.00s,8,0025-1128-0721,712,1114,18,28,25,F,1,,,,,,,
ROI__Seq02_18.00s.tif.csv,Seq02,18.00s,9,0025-1010-0450,432,990,36,40,25,F,1,,,,,,,
ROI__Seq02_18.00s.tif.csv,Seq02,18.00s,10,0025-0635-0367,350,620,34,30,25,F,1,,,,,,,
ROI__Seq02_18.00s.tif.csv,Seq02,18.00s,11,0025-0682-0295,280,666,30,32,25,B,1,,,,,,,
