 ,Label,Area,Mean,Min,Max,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
274,image167.tif,52,255,255,255,9.220,7.181,95.018,9.849,980,637,113.962,7.000
275,image167.tif,55,255,255,255,9.817,7.134,77.733,10.770,884,661,68.199,7.000
276,image167.tif,64,255,255,255,9.851,8.272,13.453,10.630,123,674,41.186,8.944
277,image167.tif,59,255,255,255,10.307,7.288,138.863,10.817,736,683,123.690,7.778
278,image167.tif,72,255,255,255,9.940,9.223,105.617,10.817,735,693,123.690,9.000
279,image167.tif,66,255,255,255,9.424,8.917,125.077,10.817,134,699,146.310,9.000
280,image167.tif,83,255,255,255,10.585,9.984,63.486,11.402,576,712,37.875,10.000
281,image167.tif,81,255,255,255,11.181,9.224,83.258,11.705,775,709,109.983,9.000
282,image167.tif,77,255,255,255,10.474,9.360,5.441,11.180,737,712,153.435,9.000
283,image167.tif,61,255,255,255,10.291,7.547,45.693,10.817,92,725,33.690,7.778
284,image167.tif,173,255,255,255,19.310,11.407,54.534,23.431,369,736,39.806,15.338
285,image167.tif,55,255,255,255,9.296,7.533,124.662,10.000,391,754,126.870,8.485
286,image169.tif,225,255,255,255,19.980,14.338,59.310,25.495,625,79,78.690,17.305
287,image169.tif,59,255,255,255,9.720,7.728,48.964,10.296,357,66,29.055,8.485
288,image169.tif,56,255,255,255,9.282,7.682,89.408,9.849,170,126,113.962,8.000
289,image169.tif,67,255,255,255,9.886,8.630,63.771,10.770,419,146,68.199,9.000
290,image169.tif,61,255,255,255,11.067,7.018,25.520,12.166,878,165,9.462,7.766
291,image169.tif,198,255,255,255,17.749,14.203,50.066,20.809,377,191,54.782,16.000
292,image169.tif,57,255,255,255,9.286,7.815,2.323,9.849,558,197,156.038,8.000
293,image169.tif,52,255,255,255,9.307,7.114,100.393,10.296,693,215,119.055,8.000
294,image169.tif,68,255,255,255,9.874,8.769,98.384,11.180,308,267,100.305,9.000
295,image169.tif,77,255,255,255,10.199,9.612,51.300,11.180,67,301,63.435,10.000
296,image169.tif,67,255,255,255,9.987,8.542,42.693,10.817,467,299,33.690,9.000
297,image169.tif,58,255,255,255,9.159,8.063,41.393,10.296,377,308,60.945,8.944
298,image169.tif,98,255,255,255,12.608,9.897,9.975,15.811,460,306,18.435,11.000
299,image169.tif,67,255,255,255,9.458,9.019,90.641,10.630,481,320,41.186,9.000
300,image169.tif,69,255,255,255,11.029,7.965,38.904,11.662,217,323,30.964,8.485
301,image169.tif,56,255,255,255,9.530,7.482,31.955,10.817,485,330,33.690,8.000
302,image169.tif,54,255,255,255,10.184,6.751,124.978,10.817,591,326,123.690,7.603
303,image169.tif,57,255,255,255,8.720,8.323,53.557,10.000,773,342,36.870,8.854
304,image169.tif,57,255,255,255,9.494,7.644,69.336,10.296,435,350,60.945,8.000
305,image169.tif,77,255,255,255,11.053,8.870,130.200,12.207,794,361,124.992,9.839
306,image169.tif,65,255,255,255,10.266,8.062,85.884,10.817,648,371,56.310,8.000
307,image169.tif,67,255,255,255,9.502,8.977,50.537,10.630,658,374,41.186,9.000
308,image169.tif,69,255,255,255,10.210,8.605,79.814,10.817,982,390,56.310,9.000
309,image169.tif,68,255,255,255,9.569,9.048,77.848,10.440,390,393,73.301,9.803
